Job Title,Company Name,Location,Job Type,Experience Level,Posting Date,Requirements,Link
Customer Care Supervisor,Experienced,"New Cairo, Cairo, Egypt",Full Time,Not specified,5 hours ago,[],https://wuzzuf.net/jobs/p/kuwn4h0cyjwc-customer-care-supervisor-mobco-civil-construction-cairo-egypt
Mechanical Cost Control Engineer,· Creative/Design/Art,"Katameya, Cairo, Egypt",Full Time,Not specified,5 hours ago,[],https://wuzzuf.net/jobs/p/kbhdcjd05rnz-mechanical-cost-control-engineer-saudi-firmness-cairo-egypt
Design Manager (Design Management),Architect,"New Cairo, Cairo, Egypt",Full Time,Not specified,5 hours ago,"['Architectural background with proven design management experience with real estate developers.', 'Not less than 10 years total experience including 5 years with a real estate developer.', 'Extensive experience in coordinating among all engineering trades.', 'Leadership skills, leading by teamwork spirit to achieve results.', 'Excellent communication skills to deal with all stakeholders.']",https://wuzzuf.net/jobs/p/lrdebdiytyq1-design-manager-design-management-capital-link-developments-cairo-egypt
Electrical Technical Office Engineer-PV,Experienced,"Katameya, Cairo, Egypt",Full Time,Not specified,5 hours ago,"['Bachelor’s degree in Electrical Engineering or a related field.', '3 to 5 years of proven experience in a technical office role within the construction or engineering industry.', 'Strong knowledge of electrical systems, standards, and codes applicable to industrial and infrastructure projects.', 'Proficiency in AutoCAD, Revit, and other electrical design software.', 'Experience in preparing shop drawings, material submittals, and technical documentation.', 'Excellent coordination and communication skills for cross-functional collaboration.', 'Ability to analyze and resolve technical issues efficiently.', 'Familiarity with project management tools and methodologies.', 'Strong attention to detail and organizational skills.', 'Ability to work effectively in an office-based environment.']",https://wuzzuf.net/jobs/p/tqcupbbxjvnl-electrical-technical-office-engineer-pv-saudi-firmness-cairo-egypt
Sales Manager -IR,· Engineering - Construction/Civil/Architecture,"Cairo, Egypt",Full Time,Not specified,6 hours ago,"['Bachelor’s degree inMarketing, Business Administration, or related field.', '5–10 years of experiencein sales management, preferably in wholesale distribution.', 'Strong understanding ofwholesale and distributor channels across Egypt.', 'Good command of English.', 'Excellent proficiency in MS Office.', 'Strong leadership and people-management capabilities.', 'Excellent interpersonal, communication, negotiation, and presentation skills.', 'Effective decision-making and problem-solving abilities.', 'Advanced analytical and data interpretation skills.', 'Ability to multitask and manage multiple accounts efficiently.', 'Strong organizational and time-management skills.']",https://wuzzuf.net/jobs/p/hf1jgz6afnp2-sales-manager-ir-cairo-egypt
Senior Java Developer,Document Control Specialist,"New Cairo, Cairo, Egypt",Full Time,Not specified,6 hours ago,"['Strong proficiency in Java and Spring Boot (Spring Core, Data, Security, Cloud).', 'Experience in microservices architecture, API design, and service orchestration.', 'Knowledge of RESTful APIs, JSON, message queues, and event-driven communication.', 'Proficiency with PostgreSQL, NoSQL databases, and caching solutions.', 'Familiarity with Docker, Kubernetes, and CI/CD pipelines', 'Understanding of security protocols and authorization frameworks (JWT, OAuth2).', 'Solid knowledge of logging, monitoring, and observability tools (ELK, Grafana, Prometheus).', 'Experience with Agile methodologies, collaboration tools, and Git-based workflows.', 'Excellent problem-solving and debugging skills.', 'Strong communication skills with the ability to work cross-functionally.', 'Bachelor’s degree in computer science, Software Engineering, or equivalent field.', '5+ years of experience as a backend developer using Java Spring Boot.', 'Excellent teamwork skills']",https://wuzzuf.net/jobs/p/dqha66mwmyhr-senior-java-developer-moweex-digital-solutions-cairo-egypt
Sales Manager - OR,Experienced,"Cairo, Egypt",Full Time,Not specified,6 hours ago,"['Bachelor’s degree in Business Administration, or a related field.', '5–10 years of experience in sales management, preferably in electronics, or retail distribution.', 'Strong command of English.', 'Excellent proficiency in MS Office.', 'Strong leadership and people-management capabilities.', 'Excellent communication, negotiation, and presentation skills.', 'Effective decision-making and problem-solving skills.', 'Advanced analytical skills.', 'Ability to multitask and manage multiple accounts.', 'Strong organizational and time-management abilities.']",https://wuzzuf.net/jobs/p/bjmvkojrim5o-sales-manager-or-cairo-egypt
Senior Software Developer,· Engineering - Construction/Civil/Architecture,"Mohandessin, Giza, Egypt",Full Time,Not specified,6 hours ago,"['Bachelor’s degree in computer science, Software Engineering, or a related field.', '4-6 years of professional experience in software development, preferably in enterprise or financial services environments.', 'Proven expertise in at least one major programming language such as Java, C#, Python, or JavaScript.', 'Strong understanding of software development life cycle (SDLC) methodologies, including Agile and Scrum.', 'Experience with relational and non-relational databases such as SQL Server, MySQL, or MongoDB.', 'Demonstrated ability to work effectively in an on-site team environment.', 'Excellent problem-solving skills and attention to detail.', 'Strong communication and interpersonal skills, with the ability to collaborate across teams.', 'Experience with version control systems such as Git.', 'Ability to manage multiple priorities and deliver high-quality results within tight deadlines.']",https://wuzzuf.net/jobs/p/chbkqnouayhf-senior-software-developer-qnb-life-insurance-giza-egypt
Senior Frontend Developer (React),Technical office engineer (Wood Works) in Damietta,"New Cairo, Cairo, Egypt",Full Time,Not specified,6 hours ago,"['5+ years of professional experience in frontend development, min. 3+ years in React.', 'Strong expertise inReact.js, React Hooks, and ecosystem tools.', 'Advanced knowledge ofRedux / Redux Toolkitand global state management patterns.', 'Solid experience withJavaScript (ES6+), TypeScript, HTML5, and CSS3.', 'Deep understanding offrontend security, including XSS, CSRF, CORS, JWT, secure storage, and general OWASP principles.', 'Experience building large-scale, modular front-end applications.', 'Strong understanding of component-driven development (Atomic Design, Storybook is a plus).', 'Hands-on experience with REST APIs and consuming backend services.', 'Experience with testing frameworks (Jest, React Testing Library, Cypress is a plus).', 'Familiarity with CI/CD workflows and Git-based development.', 'Experience in performance optimization, profiling, and debugging complex issues.', 'Ability to mentor other developers and support architectural decisions.']",https://wuzzuf.net/jobs/p/nhph8xbozfep-senior-frontend-developer-react-moweex-digital-solutions-cairo-egypt
Fresh Graduates Engineers,Experienced,"New Cairo, Cairo, Egypt",Full Time,Not specified,6 hours ago,[],https://wuzzuf.net/jobs/p/kwgzgnge086w-fresh-graduates-engineers-gazala-steel-fabrication-gsf-cairo-egypt
